instance,gs,nc,ne,ps,xi
R106.txt,30.0,0.38,0.27,25.0,0.53
R208.txt,56.0,0.32,0.35,29.0,0.58
C207.txt,10.0,0.21,0.38,25.0,0.53
RC206.txt,17.0,0.35,0.22,26.0,0.56
R110.txt,14.0,0.25,0.25,38.0,0.55
C205.txt,10.0,0.21,0.38,25.0,0.53
RC207.txt,14.0,0.25,0.26,38.0,0.54
RC201.txt,19.0,0.33,0.2,31.0,0.55
R107.txt,19.0,0.45,0.22,23.0,0.56
R206.txt,30.0,0.34,0.25,25.0,0.51
R112.txt,14.0,0.25,0.29,38.0,0.52
RC108.txt,19.0,0.34,0.21,31.0,0.58
C107.txt,10.0,0.1,0.4,25.0,0.6
C206.txt,10.0,0.21,0.38,25.0,0.53
R210.txt,19.0,0.31,0.21,31.0,0.55
RC104.txt,30.0,0.35,0.25,25.0,0.55
C201.txt,10.0,0.21,0.38,25.0,0.53
R103.txt,18.0,0.37,0.24,32.0,0.55
RC208.txt,18.0,0.44,0.25,19.0,0.56
RC202.txt,18.0,0.4,0.22,18.0,0.56
R102.txt,12.0,0.28,0.29,36.0,0.55
R209.txt,30.0,0.39,0.28,23.0,0.56
C103.txt,56.0,0.35,0.36,30.0,0.62
R201.txt,19.0,0.34,0.21,31.0,0.52
R111.txt,32.0,0.25,0.26,30.0,0.54
C104.txt,10.0,0.16,0.44,26.0,0.62
RC101.txt,14.0,0.24,0.25,38.0,0.52
C202.txt,10.0,0.21,0.38,25.0,0.53
C208.txt,10.0,0.21,0.38,25.0,0.53
C109.txt,10.0,0.1,0.4,25.0,0.6
C105.txt,10.0,0.1,0.4,25.0,0.6
R108.txt,56.0,0.35,0.31,29.0,0.62
R205.txt,17.0,0.35,0.24,26.0,0.58
C203.txt,10.0,0.21,0.38,25.0,0.53
R211.txt,18.0,0.35,0.25,20.0,0.62
R202.txt,19.0,0.45,0.23,23.0,0.6
R203.txt,32.0,0.29,0.26,30.0,0.54
RC102.txt,14.0,0.38,0.29,19.0,0.56
C101.txt,10.0,0.1,0.4,25.0,0.6
RC204.txt,10.0,0.21,0.38,25.0,0.55
RC205.txt,18.0,0.44,0.24,18.0,0.56
RC103.txt,18.0,0.45,0.22,18.0,0.56
RC105.txt,10.0,0.16,0.4,25.0,0.56
RC203.txt,19.0,0.39,0.25,25.0,0.62
C102.txt,10.0,0.1,0.4,25.0,0.6
R101.txt,30.0,0.32,0.26,32.0,0.55
C106.txt,10.0,0.1,0.4,25.0,0.6
RC107.txt,53.0,0.31,0.35,30.0,0.6
R104.txt,59.0,0.3,0.35,28.0,0.56
C204.txt,10.0,0.21,0.38,25.0,0.53
R109.txt,10.0,0.21,0.38,25.0,0.55
R207.txt,14.0,0.26,0.25,38.0,0.52
C108.txt,10.0,0.1,0.4,25.0,0.6
R204.txt,11.0,0.28,0.31,34.0,0.53
RC106.txt,32.0,0.31,0.25,27.0,0.56
R105.txt,10.0,0.15,0.38,25.0,0.53
C1_4_4.txt,10.0,0.25,0.42,18.0,0.52
C1_10_6.txt,13.0,0.51,0.54,5.0,0.41
R1_4_8.txt,10.0,0.51,0.48,5.0,0.47
C2_10_7.txt,10.0,0.58,0.47,5.0,0.4
C1_4_1.txt,10.0,0.24,0.38,18.0,0.5
R1_6_10.txt,10.0,0.48,0.5,5.0,0.53
RC2_4_2.txt,17.0,0.55,0.47,6.0,0.44
RC2_4_4.txt,10.0,0.44,0.49,15.0,0.55
C2_10_5.txt,10.0,0.6,0.49,5.0,0.4
RC1_4_2.txt,10.0,0.44,0.45,15.0,0.58
C2_2_9.txt,38.0,0.48,0.38,19.0,0.42
RC1_2_7.txt,34.0,0.52,0.35,12.0,0.44
C1_2_3.txt,10.0,0.16,0.32,23.0,0.55
RC2_4_5.txt,17.0,0.45,0.42,15.0,0.47
C1_6_5.txt,10.0,0.38,0.39,12.0,0.51
RC1_4_7.txt,10.0,0.35,0.57,5.0,0.51
R1_10_2.txt,10.0,0.23,0.6,5.0,0.67
RC2_6_4.txt,15.0,0.54,0.6,5.0,0.37
C2_10_1.txt,10.0,0.58,0.51,5.0,0.4
C1_8_4.txt,10.0,0.38,0.55,5.0,0.51
R1_8_6.txt,10.0,0.45,0.62,5.0,0.35
RC1_4_5.txt,10.0,0.37,0.65,5.0,0.45
C2_6_1.txt,15.0,0.4,0.41,9.0,0.49
RC2_6_9.txt,15.0,0.52,0.62,5.0,0.52
R2_2_6.txt,38.0,0.48,0.34,15.0,0.42
RC1_6_6.txt,10.0,0.36,0.37,5.0,0.27
RC1_2_9.txt,14.0,0.35,0.3,11.0,0.47
R1_6_1.txt,10.0,0.55,0.5,5.0,0.25
R1_4_7.txt,15.0,0.47,0.6,5.0,0.42
R2_6_4.txt,10.0,0.35,0.51,5.0,0.3
RC1_6_8.txt,10.0,0.47,0.71,5.0,0.33
R1_4_5.txt,10.0,0.42,0.6,5.0,0.51
RC1_10_4.txt,10.0,0.17,0.69,5.0,0.53
R1_10_4.txt,10.0,0.26,0.65,5.0,0.55
C1_2_9.txt,10.0,0.21,0.35,17.0,0.53
C1_2_6.txt,10.0,0.18,0.34,24.0,0.52
R2_4_5.txt,19.0,0.55,0.44,13.0,0.47
R2_10_10.txt,10.0,0.43,0.53,5.0,0.71
RC2_6_6.txt,10.0,0.59,0.45,5.0,0.23
C1_6_2.txt,21.0,0.61,0.62,5.0,0.4
RC2_8_10.txt,10.0,0.56,0.6,5.0,0.36
RC2_2_2.txt,14.0,0.26,0.42,33.0,0.55
C2_8_2.txt,13.0,0.58,0.53,5.0,0.45
C1_6_7.txt,21.0,0.57,0.55,5.0,0.39
RC1_10_9.txt,10.0,0.51,0.58,5.0,0.64
C2_8_5.txt,14.0,0.64,0.47,5.0,0.47
