instance,gs,nc,ne,ps,xi
C1_4_4.txt,10.0,0.49,0.6,5.0,0.45
C1_10_6.txt,10.0,0.37,0.57,5.0,0.25
R1_4_8.txt,10.0,0.53,0.64,5.0,0.49
C2_10_7.txt,10.0,0.33,0.54,5.0,0.58
C1_4_1.txt,24.0,0.53,0.47,7.0,0.38
R1_6_10.txt,10.0,0.19,0.64,5.0,0.51
RC2_4_2.txt,10.0,0.35,0.56,5.0,0.35
RC2_4_4.txt,10.0,0.44,0.64,5.0,0.45
C2_10_5.txt,10.0,0.38,0.59,5.0,0.55
RC1_4_2.txt,10.0,0.36,0.62,5.0,0.35
C2_2_9.txt,10.0,0.49,0.25,5.0,0.45
RC1_2_7.txt,13.0,0.56,0.31,6.0,0.47
C1_2_3.txt,10.0,0.37,0.38,15.0,0.56
RC2_4_5.txt,10.0,0.58,0.4,5.0,0.44
C1_6_5.txt,11.0,0.44,0.53,5.0,0.35
RC1_4_7.txt,10.0,0.31,0.6,5.0,0.38
R1_10_2.txt,10.0,0.35,0.69,5.0,0.67
RC2_6_4.txt,10.0,0.35,0.58,5.0,0.53
C2_10_1.txt,10.0,0.38,0.55,5.0,0.55
C1_8_4.txt,10.0,0.3,0.42,5.0,0.35
R1_8_6.txt,10.0,0.26,0.58,5.0,0.64
RC1_4_5.txt,10.0,0.49,0.58,5.0,0.4
C2_6_1.txt,10.0,0.56,0.4,5.0,0.45
RC2_6_9.txt,10.0,0.39,0.43,5.0,0.64
R2_2_6.txt,10.0,0.49,0.24,5.0,0.44
RC1_6_6.txt,10.0,0.35,0.53,5.0,0.6
RC1_2_9.txt,16.0,0.56,0.34,8.0,0.47
R1_6_1.txt,10.0,0.32,0.55,5.0,0.6
R1_4_7.txt,10.0,0.35,0.6,5.0,0.36
R2_6_4.txt,10.0,0.3,0.58,5.0,0.53
RC1_6_8.txt,10.0,0.62,0.69,5.0,0.6
R1_4_5.txt,10.0,0.4,0.51,5.0,0.36
RC1_10_4.txt,10.0,0.23,0.6,5.0,0.62
R1_10_4.txt,10.0,0.21,0.54,5.0,0.6
C1_2_9.txt,10.0,0.51,0.25,5.0,0.44
C1_2_6.txt,29.0,0.48,0.3,14.0,0.37
R2_4_5.txt,10.0,0.52,0.35,5.0,0.35
R2_10_10.txt,10.0,0.53,0.55,5.0,0.78
RC2_6_6.txt,10.0,0.46,0.49,5.0,0.58
C1_6_2.txt,10.0,0.45,0.55,5.0,0.29
RC2_8_10.txt,10.0,0.6,0.58,5.0,0.73
RC2_2_2.txt,16.0,0.52,0.36,11.0,0.55
C2_8_2.txt,11.0,0.46,0.6,5.0,0.51
C1_6_7.txt,10.0,0.47,0.56,5.0,0.45
RC1_10_9.txt,10.0,0.3,0.71,5.0,0.6
C2_8_5.txt,12.0,0.44,0.64,5.0,0.46
R2_2_3.txt,10.0,0.39,0.45,15.0,0.56
R2_6_10.txt,10.0,0.6,0.53,5.0,0.71
RC2_8_8.txt,10.0,0.36,0.56,5.0,0.75
RC1_4_3.txt,10.0,0.55,0.67,5.0,0.49
C2_6_10.txt,10.0,0.62,0.4,5.0,0.45
R2_8_10.txt,10.0,0.28,0.64,5.0,0.75
RC2_10_1.txt,10.0,0.45,0.53,5.0,0.71
RC1_10_8.txt,10.0,0.31,0.71,5.0,0.51
C2_6_3.txt,10.0,0.56,0.4,5.0,0.49
RC1_6_2.txt,10.0,0.25,0.67,5.0,0.44
R1_8_5.txt,10.0,0.41,0.56,5.0,0.69
C2_6_6.txt,10.0,0.6,0.4,5.0,0.47
R2_8_1.txt,10.0,0.53,0.49,5.0,0.78
RC2_4_3.txt,24.0,0.58,0.44,7.0,0.38
C1_6_6.txt,11.0,0.55,0.53,5.0,0.3
RC1_6_10.txt,10.0,0.26,0.4,5.0,0.56
RC2_6_7.txt,10.0,0.69,0.58,5.0,0.6
R1_2_1.txt,10.0,0.49,0.25,5.0,0.45
C2_2_3.txt,10.0,0.49,0.26,5.0,0.45
C1_4_2.txt,10.0,0.29,0.49,5.0,0.38
C2_10_4.txt,10.0,0.36,0.55,5.0,0.6
