instance,gs,nc,ne,ps,xi
R106.txt,33.0,0.43,0.27,26.0,0.53
R208.txt,60.0,0.31,0.38,28.0,0.62
C207.txt,10.0,0.1,0.4,25.0,0.56
RC206.txt,17.0,0.37,0.21,26.0,0.6
R110.txt,13.0,0.29,0.29,39.0,0.58
C205.txt,10.0,0.18,0.4,25.0,0.58
RC207.txt,13.0,0.27,0.29,39.0,0.52
RC201.txt,20.0,0.3,0.18,31.0,0.52
R107.txt,20.0,0.46,0.22,23.0,0.58
R206.txt,33.0,0.38,0.24,26.0,0.51
R112.txt,15.0,0.2,0.22,39.0,0.48
RC108.txt,20.0,0.31,0.19,31.0,0.56
C107.txt,10.0,0.1,0.4,25.0,0.6
C206.txt,10.0,0.18,0.4,25.0,0.58
R210.txt,20.0,0.34,0.17,31.0,0.54
RC104.txt,33.0,0.33,0.28,26.0,0.58
C201.txt,10.0,0.18,0.4,25.0,0.58
R103.txt,18.0,0.34,0.16,32.0,0.52
RC208.txt,18.0,0.43,0.24,18.0,0.6
RC202.txt,20.0,0.43,0.18,19.0,0.62
R102.txt,13.0,0.31,0.32,35.0,0.6
R209.txt,33.0,0.38,0.31,23.0,0.6
C103.txt,60.0,0.4,0.36,29.0,0.6
R201.txt,18.0,0.28,0.22,30.0,0.5
R111.txt,35.0,0.28,0.3,29.0,0.56
C104.txt,10.0,0.18,0.44,27.0,0.62
RC101.txt,13.0,0.23,0.29,39.0,0.58
C202.txt,10.0,0.1,0.4,25.0,0.56
C208.txt,10.0,0.18,0.4,25.0,0.58
C109.txt,10.0,0.1,0.4,25.0,0.6
C105.txt,10.0,0.1,0.4,25.0,0.6
R108.txt,60.0,0.34,0.31,30.0,0.6
R205.txt,18.0,0.33,0.2,27.0,0.6
C203.txt,10.0,0.1,0.4,25.0,0.56
R211.txt,20.0,0.41,0.21,19.0,0.67
R202.txt,18.0,0.48,0.21,22.0,0.56
R203.txt,35.0,0.3,0.27,29.0,0.48
RC102.txt,15.0,0.44,0.27,18.0,0.56
C101.txt,10.0,0.1,0.4,25.0,0.6
RC204.txt,10.0,0.23,0.38,25.0,0.53
RC205.txt,20.0,0.48,0.2,19.0,0.62
RC103.txt,20.0,0.43,0.2,19.0,0.64
RC105.txt,10.0,0.18,0.4,25.0,0.56
RC203.txt,20.0,0.46,0.24,23.0,0.62
C102.txt,10.0,0.1,0.4,25.0,0.6
R101.txt,33.0,0.3,0.27,31.0,0.53
C106.txt,10.0,0.1,0.4,25.0,0.6
RC107.txt,56.0,0.34,0.38,30.0,0.62
R104.txt,50.0,0.33,0.31,26.0,0.51
C204.txt,10.0,0.1,0.4,25.0,0.56
R109.txt,10.0,0.23,0.38,25.0,0.53
R207.txt,13.0,0.3,0.29,39.0,0.53
C108.txt,10.0,0.1,0.4,25.0,0.6
R204.txt,12.0,0.26,0.33,33.0,0.58
