instance,gs,nc,ne,ps,xi
C1_4_4.txt,10.0,0.6,0.56,5.0,0.53
C1_10_6.txt,10.0,0.34,0.57,5.0,0.27
C1_4_1.txt,21.0,0.46,0.45,7.0,0.38
C1_2_3.txt,10.0,0.44,0.4,15.0,0.56
C1_6_5.txt,10.0,0.35,0.56,5.0,0.45
C1_8_4.txt,10.0,0.31,0.44,5.0,0.35
C1_2_9.txt,10.0,0.6,0.24,5.0,0.49
C1_2_6.txt,27.0,0.46,0.3,15.0,0.45
C1_6_2.txt,10.0,0.46,0.6,5.0,0.29
C1_6_7.txt,10.0,0.4,0.49,5.0,0.51
C2_10_7.txt,10.0,0.25,0.45,5.0,0.45
C2_10_5.txt,10.0,0.44,0.61,5.0,0.41
C2_2_9.txt,10.0,0.49,0.35,9.0,0.49
C2_10_1.txt,10.0,0.37,0.61,5.0,0.41
C2_6_1.txt,10.0,0.56,0.44,5.0,0.43
C2_8_2.txt,10.0,0.5,0.6,5.0,0.49
C2_8_5.txt,12.0,0.48,0.67,5.0,0.5
C2_6_10.txt,10.0,0.6,0.42,5.0,0.48
C2_6_3.txt,10.0,0.58,0.44,5.0,0.46
C2_6_6.txt,10.0,0.6,0.42,5.0,0.48
R1_4_8.txt,10.0,0.49,0.64,5.0,0.53
R1_6_10.txt,10.0,0.18,0.62,5.0,0.45
R1_10_2.txt,10.0,0.36,0.71,5.0,0.64
R1_8_6.txt,10.0,0.28,0.58,5.0,0.65
R1_6_1.txt,10.0,0.26,0.43,5.0,0.58
R1_4_7.txt,10.0,0.37,0.56,5.0,0.44
R1_4_5.txt,10.0,0.45,0.47,5.0,0.4
R1_10_4.txt,10.0,0.23,0.52,5.0,0.6
R1_8_5.txt,10.0,0.41,0.55,5.0,0.65
R1_2_1.txt,10.0,0.59,0.27,8.0,0.53
R2_2_6.txt,10.0,0.45,0.31,9.0,0.49
R2_6_4.txt,10.0,0.27,0.6,5.0,0.53
R2_4_5.txt,10.0,0.6,0.38,5.0,0.44
R2_10_10.txt,10.0,0.47,0.6,5.0,0.71
R2_2_3.txt,10.0,0.39,0.44,15.0,0.6
R2_6_10.txt,10.0,0.58,0.58,5.0,0.65
R2_8_10.txt,10.0,0.31,0.56,5.0,0.73
R2_8_1.txt,10.0,0.54,0.55,5.0,0.75
R2_4_1.txt,10.0,0.6,0.33,5.0,0.42
R2_10_7.txt,10.0,0.17,0.54,5.0,0.62
RC1_4_2.txt,10.0,0.36,0.51,5.0,0.44
RC1_2_7.txt,12.0,0.54,0.27,9.0,0.55
RC1_4_7.txt,10.0,0.25,0.49,5.0,0.45
RC1_4_5.txt,10.0,0.56,0.55,5.0,0.44
RC1_6_6.txt,10.0,0.39,0.56,5.0,0.69
RC1_2_9.txt,15.0,0.56,0.31,8.0,0.51
RC1_6_8.txt,10.0,0.64,0.64,5.0,0.53
RC1_10_4.txt,10.0,0.23,0.55,5.0,0.58
RC1_10_9.txt,10.0,0.3,0.69,5.0,0.58
RC1_4_3.txt,10.0,0.6,0.62,5.0,0.47
RC2_4_2.txt,10.0,0.35,0.53,5.0,0.44
RC2_4_4.txt,10.0,0.51,0.58,5.0,0.49
RC2_4_5.txt,10.0,0.56,0.45,5.0,0.49
RC2_6_4.txt,10.0,0.33,0.58,5.0,0.49
RC2_6_9.txt,10.0,0.38,0.46,5.0,0.62
RC2_6_6.txt,10.0,0.45,0.46,5.0,0.45
RC2_8_10.txt,10.0,0.55,0.55,5.0,0.69
RC2_2_2.txt,14.0,0.54,0.36,12.0,0.62
RC2_8_8.txt,10.0,0.37,0.58,5.0,0.73
RC2_10_1.txt,10.0,0.42,0.56,5.0,0.67
